,,,,NFL Fantasy Football Stats - 2021/2022 Season Actuals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,© FantasyCube.com,
#REF!,,,,,,,,,,,,,,,,,Scoring Settings (League Value):,#REF!,#REF!,#REF!,#REF!,#REF!,0,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
,,,,MY NOTES & RANKING,,"PROJECTIONS (Y! Std, Fantasy Pros Std & PPR)",,,,,,,,,,GAMES,,PASSING,,,,,,,,RUSHING,,,,RECEIVING,,,,,RETURN,,MISC,FUM,,FANTASY POINTS,
Player,Pos,Team,Bye,Notes,Rank,Y! Roto,?,Y! Old,Std,?,Std Old,PPR,?,PPR Old,% Own,GP,GS,Comp,Inc,Yds,TD,Int,Pic6,Sks,1st,Att,Yds,TD,1st,Tgt,Rec,Yds,TD,1st,Yds,TD,2PT,Total,Lost,Fan Pts,PPG
J. Allen,QB,Buf,7,,,32,0,32,32,0,32,34,0,34,1,17,,409,237,4407,36,15,0,26,234,122,763,6,54,0,0,0,0,0,0,0,3,8,3,0,0
J. Herbert,QB,LAC,8,,,49,0,49,40,0,40,44,0,44,1,17,,443,229,5014,38,15,3,31,256,63,302,3,28,0,0,0,0,0,0,0,6,1,1,0,0
P. Mahomes,QB,KC,8,,,52,0,52,50,0,50,46,0,46,1,17,,436,222,4839,37,13,1,28,260,66,381,2,25,0,0,0,0,0,0,0,2,9,4,0,0
T. Brady,QB,TB,11,,,76,0,76,83,0,83,84,0,84,0.99,17,,485,234,5316,43,12,2,22,269,28,81,2,14,0,0,0,0,0,0,0,0,4,3,0,0
J. Burrow,QB,Cin,10,Q,,70,0,70,75,0,75,76,0,76,0.99,16,,366,154,4611,34,14,2,51,202,40,118,2,14,0,0,0,0,0,0,0,1,5,2,0,0
M. Stafford,QB,LAR,7,Q,,93,0,93,102,0,102,101,0,101,0.94,17,,404,197,4886,41,17,4,30,233,32,43,0,8,0,0,0,0,0,0,0,2,5,2,0,0
D. Prescott,QB,Dal,9,,,92,0,92,89,0,89,89,0,89,0.96,16,,410,186,4449,37,10,1,30,227,48,146,1,7,0,0,0,0,0,0,0,3,14,6,0,0
